ID1,ID2,ID3,Kt,theta0
391,343,321,35.0000,1.9111
391,343,327,35.0000,1.9111
392,351,268,50.0000,2.1276
392,351,368,35.0000,2.0909
393,371,304,35.0000,2.0944
394,330,283,50.0000,2.1502
394,330,296,35.0000,2.0944
395,430,394,35.0000,2.0944
396,355,291,35.0000,1.9111
396,355,313,37.5000,1.9321
396,355,376,35.0000,1.9111
397,378,290,37.5000,1.9321
397,378,372,33.0000,1.8815
398,366,281,37.5000,1.9321
398,366,367,33.0000,1.8815
398,366,389,33.0000,1.8815
399,382,340,37.5000,1.9321
399,382,344,33.0000,1.8815
400,354,318,80.0000,2.1450
400,354,328,70.0000,2.0351
400,427,370,63.0000,1.9216
405,332,288,37.5000,1.9321
405,332,298,58.3500,1.9670
405,332,325,37.5000,1.9321
405,434,402,37.5000,1.9321
407,432,382,37.5000,1.9321
408,405,332,37.5000,1.9321
409,423,358,37.5000,1.9321
410,371,304,35.0000,2.0944
410,371,393,63.0000,2.0944
410,386,328,63.0000,1.9897
410,386,362,35.0000,1.9111
412,421,361,35.0000,1.9111
414,363,335,33.0000,1.8815
414,363,337,37.5000,1.9321
414,363,356,33.0000,1.8815
415,436,394,35.0000,2.0944
416,379,295,80.0000,2.1014
416,379,387,80.0000,2.1450
417,378,290,63.0000,1.9897
417,378,372,35.0000,1.9111
417,378,397,35.0000,1.9111
417,419,390,35.0000,2.0944
418,383,337,70.0000,2.0351
418,383,375,80.0000,2.1450
419,417,378,70.0000,2.0944
420,418,383,35.0000,2.0909
421,361,284,50.0000,2.1502
421,361,369,35.0000,2.0665
421,433,388,37.5000,1.9321
422,348,309,37.5000,1.9321
422,348,320,63.0000,1.9391
422,348,341,80.0000,1.9146
422,437,404,37.5000,1.9321
423,358,302,58.3500,1.9670
423,358,315,58.3500,1.9670
423,358,377,37.5000,1.9321
424,400,354,35.0000,2.0909
425,437,404,33.0000,1.8815
425,437,422,37.5000,1.9321
426,376,327,80.0000,2.1450
426,376,355,80.0000,2.1014
427,370,316,70.0000,2.0351
427,370,364,80.0000,2.1014
427,400,354,50.0000,2.1276
427,400,424,38.0000,2.0665
428,386,328,37.5000,1.9321
428,386,362,33.0000,1.8815
428,386,410,35.0000,1.9111
430,394,330,70.0000,2.0944
431,434,402,33.0000,1.8815
431,434,405,37.5000,1.9321
432,382,340,58.3500,1.9670
432,382,344,37.5000,1.9321
432,382,399,37.5000,1.9321
432,444,387,80.0000,1.9146
433,421,361,80.0000,1.9408
433,421,412,37.5000,1.9321
434,405,332,58.3500,1.9670
434,405,408,37.5000,1.9321
435,374,342,35.0000,2.0909
435,374,353,35.0000,2.0909
435,461,413,35.0000,1.9111
436,394,330,70.0000,2.0944
436,394,430,70.0000,2.0944
437,422,348,58.3500,1.9670
438,471,433,37.5000,1.9321
439,405,332,37.5000,1.9321
439,405,408,33.0000,1.8815
439,405,434,37.5000,1.9321
440,473,418,35.0000,1.9111
441,422,348,37.5000,1.9321
441,422,437,37.5000,1.9321
442,427,370,35.0000,1.9111
442,427,400,35.0000,1.9111
443,467,429,33.0000,1.8815
444,387,340,50.0000,2.0595
444,387,379,50.0000,2.1276
444,432,382,58.3500,1.9670
444,432,407,37.5000,1.9321
444,453,406,80.0000,2.1014
445,381,326,63.0000,1.9897
445,381,359,35.0000,1.9111
445,381,380,35.0000,1.9111
446,423,358,37.5000,1.9321
446,423,409,33.0000,1.8815
447,460,411,33.0000,1.8815
449,422,348,37.5000,1.9321
449,422,437,37.5000,1.9321
449,422,441,33.0000,1.8815
450,483,445,35.0000,2.0944
453,444,387,63.0000,1.9216
453,444,432,63.0000,1.9391
455,423,358,37.5000,1.9321
455,423,409,33.0000,1.8815
455,423,446,33.0000,1.8815
456,491,452,80.0000,1.9408
458,459,417,35.0000,2.0944
459,417,378,70.0000,2.0944
459,417,419,63.0000,2.0944
461,435,374,70.0000,2.0351
462,452,403,35.0000,1.9111
463,419,390,35.0000,2.0944
463,419,417,63.0000,2.0944
464,463,419,35.0000,2.0944
465,497,456,37.5000,1.9321
466,489,445,35.0000,2.0944
468,456,401,33.0000,1.8815
469,433,388,33.0000,1.8815
469,433,421,37.5000,1.9321
470,421,361,35.0000,1.9111
470,421,412,33.0000,1.8815
470,421,433,37.5000,1.9321
471,433,388,37.5000,1.9321
471,433,421,58.3500,1.9670
471,433,469,37.5000,1.9321
471,474,392,63.0000,1.9391
472,393,365,35.0000,2.0944
472,393,371,63.0000,2.0944
473,418,383,50.0000,2.1276
473,418,420,38.0000,2.0665
473,499,448,37.5000,1.9321
474,392,351,70.0000,2.0351
474,392,385,80.0000,2.1014
474,471,433,58.3500,1.9670
474,471,438,37.5000,1.9321
476,460,411,33.0000,1.8815
476,460,447,33.0000,1.8815
477,435,374,80.0000,2.1450
477,435,461,80.0000,2.1014
478,432,382,37.5000,1.9321
478,432,407,33.0000,1.8815
478,432,444,37.5000,1.9321
479,467,429,33.0000,1.8815
479,467,443,33.0000,1.8815
480,430,394,35.0000,2.0944
480,430,395,35.0000,2.0944
481,452,403,35.0000,1.9111
481,452,462,35.0000,1.9111
483,445,381,70.0000,2.0944
484,491,452,35.0000,1.9111
484,491,456,37.5000,1.9321
485,493,427,37.5000,1.9321
486,497,456,37.5000,1.9321
486,497,465,33.0000,1.8815
487,410,371,63.0000,2.0944
487,410,386,70.0000,2.0944
487,513,472,63.0000,2.0944
488,461,413,33.0000,1.8815
488,461,435,35.0000,1.9111
489,445,381,70.0000,2.0944
489,445,483,63.0000,2.0944
490,436,394,35.0000,2.0944
490,436,415,35.0000,2.0944
491,452,403,35.0000,1.9111
491,452,462,35.0000,1.9111
491,452,481,35.0000,1.9111
491,456,401,37.5000,1.9321
491,456,468,37.5000,1.9321
492,444,387,35.0000,1.9111
492,444,432,37.5000,1.9321
492,444,453,35.0000,1.9111
493,427,370,63.0000,1.9391
493,427,400,80.0000,1.9146
493,427,442,37.5000,1.9321
493,505,457,37.5000,1.9321
495,507,451,33.0000,1.8815
497,456,401,37.5000,1.9321
497,456,468,37.5000,1.9321
497,456,491,58.3500,1.9670
498,514,461,37.5000,1.9321
499,473,418,80.0000,1.9146
499,473,440,37.5000,1.9321
500,472,393,70.0000,2.0944
502,523,460,37.5000,1.9321
503,474,392,63.0000,1.9216
503,474,471,80.0000,1.9146
504,474,392,35.0000,1.9111
